n01e006,6,7,0,1
n01e009,9,10,0,1
n01e010,10,11,0,1
n01e011,11,12,0,1
n01e012,12,13,0,1
n01e013,13,14,0,1
n01e014,14,15,0,1
n01e015,15,16,0,1
n01e016,16,17,0,1
n01e017,17,18,0,1
n01e018,18,19,0,1
n01e019,19,20,0,1
n01e020,20,21,0,1
n01e021,21,22,0,1
n01e022,22,23,0,1
n01e023,23,24,0,1
n01e024,24,25,0,1
n01e025,25,26,0,1
n01e026,26,27,0,1
n01e027,27,28,0,1
n01e028,28,29,0,1
n01e029,29,30,0,1
n01e030,30,31,0,1
n01e031,31,32,0,1
n01e032,32,33,0,1
n01e033,33,34,0,1
n01e034,34,35,0,1
n01e035,35,36,0,1
n01e036,36,37,0,1
n01e037,37,38,0,1
n01e038,38,39,0,1
n01e039,39,40,0,1
n01e040,40,41,0,1
n01e041,41,42,0,1
n01e042,42,43,0,1
n01e043,43,44,0,1
n01e072,72,73,0,1
n01e073,73,74,0,1
n01e097,97,98,0,1
n01e098,98,99,0,1
n01e099,99,100,0,1
n01e100,100,101,0,1
n01e101,101,102,0,1
n01e102,102,103,0,1
n01e103,103,104,0,1
n01e104,104,105,0,1
n01e106,106,107,0,1
n01e107,107,108,0,1
n01e108,108,109,0,1
n01e109,109,110,0,1
n01e110,110,111,0,1
n01e111,111,112,0,1
n01e112,112,113,0,1
n01e113,113,114,0,1
n01e114,114,115,0,1
n01e115,115,116,0,1
n01e116,116,117,0,1
n01e117,117,118,0,1
n01e118,118,119,0,1
n01e119,119,120,0,1
n01e120,120,121,0,1
n01e121,121,122,0,1
n01e122,122,123,0,1
n01e123,123,124,0,1
n01e124,124,125,0,1
n01e126,126,127,0,1
n01e127,127,128,0,1
n01e128,128,129,0,1
n01e129,129,130,0,1
n01e130,130,131,0,1
n01e131,131,132,0,1
n01e134,134,135,0,1
n01e172,172,173,0,1
n01e173,173,174,0,1
n01w050,-50,-49,0,1
n01w051,-51,-50,0,1
n01w052,-52,-51,0,1
n01w053,-53,-52,0,1
n01w054,-54,-53,0,1
n01w055,-55,-54,0,1
n01w056,-56,-55,0,1
n01w057,-57,-56,0,1
n01w058,-58,-57,0,1
n01w059,-59,-58,0,1
n01w060,-60,-59,0,1
n01w061,-61,-60,0,1
n01w062,-62,-61,0,1
n01w063,-63,-62,0,1
n01w064,-64,-63,0,1
n01w065,-65,-64,0,1
n01w066,-66,-65,0,1
n01w067,-67,-66,0,1
n01w068,-68,-67,0,1
n01w069,-69,-68,0,1
n01w070,-70,-69,0,1
n01w071,-71,-70,0,1
n01w072,-72,-71,0,1
n01w073,-73,-72,0,1
n01w074,-74,-73,0,1
n01w075,-75,-74,0,1
n01w076,-76,-75,0,1
n01w077,-77,-76,0,1
n01w078,-78,-77,0,1
n01w079,-79,-78,0,1
n01w080,-80,-79,0,1
n01w081,-81,-80,0,1
n01w090,-90,-89,0,1
n01w091,-91,-90,0,1
n01w092,-92,-91,0,1
n01w177,-177,-176,0,1
n02e007,7,8,1,2
n02e009,9,10,1,2
n02e010,10,11,1,2
n02e011,11,12,1,2
n02e012,12,13,1,2
n02e013,13,14,1,2
n02e014,14,15,1,2
n02e015,15,16,1,2
n02e016,16,17,1,2
n02e017,17,18,1,2
n02e018,18,19,1,2
n02e019,19,20,1,2
n02e020,20,21,1,2
n02e021,21,22,1,2
n02e022,22,23,1,2
n02e023,23,24,1,2
n02e024,24,25,1,2
n02e025,25,26,1,2
n02e026,26,27,1,2
n02e027,27,28,1,2
n02e028,28,29,1,2
n02e029,29,30,1,2
n02e030,30,31,1,2
n02e031,31,32,1,2
n02e032,32,33,1,2
n02e033,33,34,1,2
n02e034,34,35,1,2
n02e035,35,36,1,2
n02e036,36,37,1,2
n02e037,37,38,1,2
n02e038,38,39,1,2
n02e039,39,40,1,2
n02e040,40,41,1,2
n02e041,41,42,1,2
n02e042,42,43,1,2
n02e043,43,44,1,2
n02e044,44,45,1,2
n02e045,45,46,1,2
n02e073,73,74,1,2
n02e097,97,98,1,2
n02e098,98,99,1,2
n02e099,99,100,1,2
n02e100,100,101,1,2
n02e101,101,102,1,2
n02e102,102,103,1,2
n02e103,103,104,1,2
n02e104,104,105,1,2
n02e107,107,108,1,2
n02e108,108,109,1,2
n02e109,109,110,1,2
n02e110,110,111,1,2
n02e111,111,112,1,2
n02e112,112,113,1,2
n02e113,113,114,1,2
n02e114,114,115,1,2
n02e115,115,116,1,2
n02e116,116,117,1,2
n02e117,117,118,1,2
n02e118,118,119,1,2
n02e120,120,121,1,2
n02e121,121,122,1,2
n02e122,122,123,1,2
n02e124,124,125,1,2
n02e125,125,126,1,2
n02e126,126,127,1,2
n02e127,127,128,1,2
n02e128,128,129,1,2
n02e131,131,132,1,2
n02e172,172,173,1,2
n02e173,173,174,1,2
n02w050,-50,-49,1,2
n02w051,-51,-50,1,2
n02w052,-52,-51,1,2
n02w053,-53,-52,1,2
n02w054,-54,-53,1,2
n02w055,-55,-54,1,2
n02w056,-56,-55,1,2
n02w057,-57,-56,1,2
n02w058,-58,-57,1,2
n02w059,-59,-58,1,2
n02w060,-60,-59,1,2
n02w061,-61,-60,1,2
n02w062,-62,-61,1,2
n02w063,-63,-62,1,2
n02w064,-64,-63,1,2
n02w065,-65,-64,1,2
n02w066,-66,-65,1,2
n02w067,-67,-66,1,2
n02w068,-68,-67,1,2
n02w069,-69,-68,1,2
n02w070,-70,-69,1,2
n02w071,-71,-70,1,2
n02w072,-72,-71,1,2
n02w073,-73,-72,1,2
n02w074,-74,-73,1,2
n02w075,-75,-74,1,2
n02w076,-76,-75,1,2
n02w077,-77,-76,1,2
n02w078,-78,-77,1,2
